page,src,x,y,width,height,is_hyperlink,alt,title,smallest_rendered_ancestors_width,smallest_rendered_ancestors_height,edit_distance_title_to_src,edit_distance_title_to_alt,edit_distance_title_to_title,classes_contain_header,classes_contain_content,classes_contain_nav,classes_contain_sidebar,classes_contain_footer,classes_contain_article,classes_contain_story,classes_contain_ad,classes_contain_advert,classes_contain_logo,classes_contain_main,is_relevant,is_external,in_bounds,distance_from_edge_left,distance_from_edge_right,distance_from_edge_up,distance_from_edge_down,same_sized_imgs,standardized_edit_distance_title_to_src,standardized_edit_distance_title_to_alt,standardized_edit_distance_title_to_title,center_x,center_y,rel_x,rel_y,rel_width,rel_height,rel_distance_left,rel_distance_right,rel_distance_up,rel_distance_down,rel_ancestors_width,rel_ancestors_height
1E273C3EFAD61AF89A37F8403B84EFD4-0,smartphone-thumb.jpg,,,,,1,,,113,30,79,90,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,4,-0.35257475959068013,0.25400025400038223,0.0,,,,,,,,,,,0.1103515625,0.00333667000333667
1E273C3EFAD61AF89A37F8403B84EFD4-1,smartphone-feat2.jpg,22,392,640,360,0,,,640,390,77,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,22,362,392,8239,1,-0.38414861865850225,0.25400025400038223,0.0,342,572,0.021484375,0.04359915471026582,0.625,0.04004004004004004,0.021484375,0.353515625,0.04359915471026582,0.9163608052496941,0.625,0.04337671004337671
1E273C3EFAD61AF89A37F8403B84EFD4-2,2012-12-03-16.31.351-300x533.png,192,1741,300,533,1,,,300,608,88,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,1741,6717,4,-0.21049239378548065,0.25400025400038223,0.0,342,2007,0.1875,0.19363808252697143,0.29296875,0.05928150372594817,0.1875,0.51953125,0.19363808252697143,0.7470804137470805,0.29296875,0.06762317873428984
1E273C3EFAD61AF89A37F8403B84EFD4-3,IMG_0751-300x532.png,192,2534,300,532,1,,,300,607,88,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,2534,5925,16,-0.21049239378548065,0.25400025400038223,0.0,342,2800,0.1875,0.2818373929485041,0.29296875,0.05917028139250362,0.1875,0.51953125,0.2818373929485041,0.6589923256589924,0.29296875,0.06751195640084529
1E273C3EFAD61AF89A37F8403B84EFD4-4,IMG_0752-300x532.png,192,3421,300,532,1,,,300,607,88,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,3421,5038,16,-0.21049239378548065,0.25400025400038223,0.0,342,3687,0.1875,0.38049160271382493,0.29296875,0.05917028139250362,0.1875,0.51953125,0.38049160271382493,0.5603381158936714,0.29296875,0.06751195640084529
1E273C3EFAD61AF89A37F8403B84EFD4-5,wp_ss_20121202_0001-300x533.png,192,4293,300,533,1,,,300,608,87,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,4293,4165,4,-0.22627932331939168,0.25400025400038223,0.0,342,4559,0.1875,0.4774774774774775,0.29296875,0.05928150372594817,0.1875,0.51953125,0.4774774774774775,0.46324101879657437,0.29296875,0.06762317873428984
1E273C3EFAD61AF89A37F8403B84EFD4-6,wp_ss_20121203_00071-300x168.png,192,5091,300,168,1,,,300,223,87,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,5091,3732,1,-0.22627932331939168,0.25400025400038223,0.0,342,5175,0.1875,0.5662328995662329,0.29296875,0.01868535201868535,0.1875,0.51953125,0.5662328995662329,0.4150817484150818,0.29296875,0.024802580358135914
1E273C3EFAD61AF89A37F8403B84EFD4-7,IMG_0753-300x532.png,192,5559,300,532,1,,,300,587,88,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,5559,2900,16,-0.21049239378548065,0.25400025400038223,0.0,342,5825,0.1875,0.618284951618285,0.29296875,0.05917028139250362,0.1875,0.51953125,0.618284951618285,0.3225447669892114,0.29296875,0.06528750973195417
1E273C3EFAD61AF89A37F8403B84EFD4-8,2012-12-03-17.44.47-300x533.png,192,6296,300,533,1,,,300,588,88,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,6296,2162,4,-0.21049239378548065,0.25400025400038223,0.0,342,6562,0.1875,0.7002558113669225,0.29296875,0.05928150372594817,0.1875,0.51953125,0.7002558113669225,0.24046268490712935,0.29296875,0.06539873206539873
1E273C3EFAD61AF89A37F8403B84EFD4-9,wp_ss_20121203_0009-300x533.png,192,7034,300,533,1,,,300,588,87,90,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,192,532,7034,1424,4,-0.22627932331939168,0.25400025400038223,0.0,342,7300,0.1875,0.7823378934490045,0.29296875,0.05928150372594817,0.1875,0.51953125,0.7823378934490045,0.15838060282504726,0.29296875,0.06539873206539873
1E273C3EFAD61AF89A37F8403B84EFD4-10,B7115566.10%3Bsz%3D1x1%3Bord%3D%27%20%2B%20ord%20%2B%20%27,22,7671,1,1,0,Advertisement,,640,7285,86,80,90,0,1,0,0,0,1,0,0,0,0,0,1,0,1,22,1001,7671,1319,3,-0.24206625285330274,-3.937003937005904,0.0,22,7671,0.021484375,0.8531865198531865,0.0009765625,0.00011122233344455567,0.021484375,0.9775390625,0.8531865198531865,0.14670225781336893,0.625,0.810254699143588
1E273C3EFAD61AF89A37F8403B84EFD4-11,http%3A//tiger.vizu.com/a.gif%3Fcid%3D5716%26amp%3Badid%3Datbrandedseries%26amp%3Bsiteid%3Darstechnica%26amp%3Bord%3D1355445956,,,,,0,,,640,7285,106,90,90,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,,,,4,0.07367233782491833,0.25400025400038223,0.0,,,,,,,,,,,0.625,0.810254699143588
1E273C3EFAD61AF89A37F8403B84EFD4-12,headshotBWion.jpg,22,7933,49,49,1,,,49,49,81,90,90,0,1,0,0,0,1,0,0,0,0,0,0,0,1,22,953,7933,1009,1,-0.321000900522858,0.25400025400038223,0.0,46,7957,0.021484375,0.88232677121566,0.0478515625,0.005449894338783227,0.021484375,0.9306640625,0.88232677121566,0.11222333444555667,0.0478515625,0.005449894338783227
1E273C3EFAD61AF89A37F8403B84EFD4-13,http%3A//api.parsely.com/v2/profile%3Fapikey%3Darstechnica.com%26amp%3Buuid%3Dnull%26amp%3Burl%3Dhttp%253A%252F%252Farstechnica.com%252Fgadgets%252F2012%252F12%252Fthe-ultimate-smartphone-guide-part-ii-being-entertained-and-going-social%252F%26amp%3Bbust%3D1355445956860,,,,,0,,,661,8400,224,90,90,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,4,1.9365300228264226,0.25400025400038223,0.0,,,,,,,,,,,0.6455078125,0.9342676009342676
1E273C3EFAD61AF89A37F8403B84EFD4-14,sponsor-qualcom.png,702,243,300,59,1,,,300,59,82,90,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,702,22,243,8689,1,-0.305213970988947,0.25400025400038223,0.0,852,272,0.685546875,0.02702702702702703,0.29296875,0.0065621176732287845,0.685546875,0.021484375,0.02702702702702703,0.9664108552997442,0.29296875,0.0065621176732287845
1E273C3EFAD61AF89A37F8403B84EFD4-15,B7115566.9%3Bsz%3D1x1%3Bord%3D1355445084,702,317,1,1,0,Advertisement,,300,78,86,80,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,702,321,317,8673,3,-0.24206625285330274,-3.937003937005904,0.0,702,317,0.685546875,0.035257479701924145,0.0009765625,0.00011122233344455567,0.685546875,0.3134765625,0.035257479701924145,0.9646312979646313,0.29296875,0.008675342008675343
1E273C3EFAD61AF89A37F8403B84EFD4-16,a.gif%3Fcid%3D5716%26adid%3Datbrandedseries%26siteid%3Darstechnica%26ord%3D1355445084,,,,,0,,,300,78,84,90,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,-0.27364011192112486,0.25400025400038223,0.0,,,,,,,,,,,0.29296875,0.008675342008675343
1E273C3EFAD61AF89A37F8403B84EFD4-17,system-guide-dec-2012-300x100.jpg,702,398,300,100,1,,,300,177,82,90,90,0,1,0,1,0,1,0,0,0,0,0,0,0,1,702,22,398,8493,1,-0.305213970988947,0.25400025400038223,0.0,852,448,0.685546875,0.04426648871093315,0.29296875,0.011122233344455567,0.685546875,0.021484375,0.04426648871093315,0.9446112779446113,0.29296875,0.019686353019686353
1E273C3EFAD61AF89A37F8403B84EFD4-18,//p.twitter.com/f.gif%3F_%3D1355445956371%26amp%3Bid%3Dtwitter-widget-0%26amp%3Blang%3Den%26amp%3Bscreen_name%3DOhthatflo%26amp%3Bshow_count%3Dfalse%26amp%3Bshow_screen_name%3Dtrue%26amp%3Bsize%3Dm%26amp%3Btwttr_variant%3D2.0%26amp%3Btwttr_referrer%3Dhttp%253A%252F%252Farstechnica.com%252Fgadgets%252F2012%252F12%252Fthe-ultimate-smartphone-guide-part-ii-being-entertained-and-going-social%252F%26amp%3Btwttr_widget%3D1%26amp%3Btwttr_hask%3D0%26amp%3Btwttr_li%3D0%26amp%3Btwttr_pid%3D,-9999,-9999,1,1,0,,,300,32,433,90,90,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-9999,11022,-9999,18989,3,5.235998295413833,0.25400025400038223,0.0,-9999,-9999,-9.7646484375,-1.112112112112112,0.0009765625,0.00011122233344455567,-9.7646484375,10.763671875,-1.112112112112112,2.1120008897786677,0.29296875,0.0035591146702257815
1E273C3EFAD61AF89A37F8403B84EFD4-19,ad_choices_arrow.png,78,8958,10,10,0,,,1020,118,79,90,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,78,936,8958,23,1,-0.35257475959068013,0.25400025400038223,0.0,83,8963,0.076171875,0.9963296629963296,0.009765625,0.0011122233344455566,0.076171875,0.9140625,0.9963296629963296,0.0025581136692247805,0.99609375,0.013124235346457569
1E273C3EFAD61AF89A37F8403B84EFD4-20,IMG_0752-300x532.png,-4998,-4998,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-4998,13457,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-4732,-4.880859375,-0.5558892225558892,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.5558892225558892,1.4967189411633857,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-21,IMG_0752-300x532.png,-4998,-4463,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-4463,12922,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-4197,-4.880859375,-0.49638527416305195,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.49638527416305195,1.4372149927705484,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-22,IMG_0752-300x532.png,-4998,-3904,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-3904,12363,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-3638,-4.880859375,-0.4342119897675453,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.4342119897675453,1.3750417083750417,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-23,IMG_0752-300x532.png,-4998,-3369,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-3369,11828,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-3103,-4.880859375,-0.37470804137470803,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.37470804137470803,1.3155377599822045,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-24,IMG_0752-300x532.png,-4998,-2834,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-2834,11293,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-2568,-4.880859375,-0.31520409298187074,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.31520409298187074,1.2560338115893672,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-25,IMG_0752-300x532.png,-4998,-2299,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-2299,10758,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-2033,-4.880859375,-0.25570014458903345,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.25570014458903345,1.1965298631965298,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-26,IMG_0752-300x532.png,-4998,-1764,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-1764,10223,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-1498,-4.880859375,-0.1961961961961962,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.1961961961961962,1.1370259148036925,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-27,IMG_0752-300x532.png,-4998,-1229,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-1229,9688,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-963,-4.880859375,-0.13669224780335892,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.13669224780335892,1.0775219664108553,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-28,IMG_0752-300x532.png,-4998,-694,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-694,9153,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,-428,-4.880859375,-0.07718829941052163,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.07718829941052163,1.018018018018018,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-29,IMG_0752-300x532.png,-4998,-159,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,-159,8618,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,107,-4.880859375,-0.01768435101768435,0.29296875,0.05917028139250362,-4.880859375,5.587890625,-0.01768435101768435,0.9585140696251807,0.29296875,0.059503948392837284
1E273C3EFAD61AF89A37F8403B84EFD4-30,IMG_0752-300x532.png,-4998,376,300,532,0,,,300,535,88,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4998,5722,376,8083,16,-0.21049239378548065,0.25400025400038223,0.0,-4848,642,-4.880859375,0.04181959737515293,0.29296875,0.05917028139250362,-4.880859375,5.587890625,0.04181959737515293,0.8990101212323435,0.29296875,0.059503948392837284
